index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
2297,84300,8,689100,0.0,42.86533668914278,295.12675028544476,277.97559747628725,0.0,0.0,23.0,0.007943512797881734
2298,84600,8,689400,0.0,42.86533668914278,295.10709050022837,277.93475174216024,0.0,0.0,23.0,0.007943512797881734
2299,84900,8,689700,0.0,38.78292367112918,295.08768352164094,277.89391980013545,0.0,0.0,23.0,0.007186987769512046
2300,85200,8,690000,0.0,42.18493451947381,295.06706381106665,277.85367402245447,0.0,0.0,23.0,0.007817425293153447
2301,85500,8,690300,0.0,43.545738858811745,295.04789369874777,277.81458678135886,0.0,0.0,23.0,0.008069600302610022
2302,85800,8,690600,0.0,40.82413018013598,295.0293508060894,277.77723044909015,0.0,0.0,23.0,0.0075652502836968906
2303,86100,8,690900,0.0,40.82413018013598,295.0102161107162,277.74217739789003,0.0,0.0,23.0,0.0075652502836968906
2304,0,9,691200,0.0,44.90654319814958,294.991604729592,277.71,0.0,0.0,23.0,0.00832177531206658
2305,300,9,691500,0.0,48.3085540464942,294.97421205352464,277.6854358626919,0.0,0.0,23.0,0.00895221283570798
2306,600,9,691800,0.0,49.66935838583214,294.9578980386015,277.671413730804,0.0,0.0,23.0,0.009204387845164556
2307,900,9,692100,0.0,44.90654319814958,294.9421940077052,277.6657926829268,0.0,0.0,23.0,0.00832177531206658
2308,1200,9,692400,0.0,44.90654319814958,294.92574614412456,277.6664317976513,0.0,0.0,23.0,0.00832177531206658
2309,1500,9,692700,0.0,51.03016272516997,294.9099387095147,277.6711901535682,0.0,0.0,23.0,0.009456562854621112
2310,1800,9,693000,0.0,45.586945367818544,294.8962445920001,277.67792682926824,0.0,0.0,23.0,0.008447862816794867
2311,2100,9,693300,0.0,44.90654319814958,294.88128211193686,277.6845009033423,0.0,0.0,23.0,0.00832177531206658
2312,2400,9,693600,0.0,45.586945367818544,294.86677458156277,277.6887714543812,0.0,0.0,23.0,0.008447862816794867
2313,2700,9,693900,0.0,44.22614102848061,294.85261827150015,277.6885975609756,0.0,0.0,23.0,0.008195687807338292
2314,3000,9,694200,0.0,45.586945367818544,294.83820218951394,277.6818383017163,0.0,0.0,23.0,0.008447862816794867
2315,3300,9,694500,0.0,45.586945367818544,294.82401780345344,277.66635275519417,0.0,0.0,23.0,0.008447862816794867
2316,3600,9,694800,0.0,44.22614102848061,294.8095491227648,277.64,0.0,0.0,23.0,0.008195687807338292
2317,3900,9,695100,0.0,4938.358947457119,294.79460165743325,277.60749999999996,0.0,0.0,23.0,0.9151431093178678
2318,4200,9,695400,0.0,5226.169065227077,295.9520601505949,277.575,0.0,0.0,23.0,0.9684781238179307
2319,4500,9,695700,0.0,5227.529869566412,296.73361999456426,277.54249999999996,0.0,0.0,23.0,0.9687302988273868
2320,4800,9,696000,0.0,5245.900728147473,297.21610023828686,277.51,0.0,0.0,23.0,0.9721346614550503
2321,5100,9,696300,0.0,5246.581130317145,297.5195016059305,277.47749999999996,0.0,0.0,23.0,0.9722607489597791
2322,5400,9,696600,0.0,5235.694695602439,297.71046578330197,277.445,0.0,0.0,23.0,0.9702433488841261
2323,5700,9,696900,0.0,5239.777108620453,297.82943540463026,277.41249999999997,0.0,0.0,23.0,0.9709998739124959
2324,6000,9,697200,0.0,5227.529869566412,297.908289229066,277.38,0.0,0.0,23.0,0.9687302988273868
2325,6300,9,697500,0.0,5243.8595216384665,297.9586010981576,277.34749999999997,0.0,0.0,23.0,0.9717563989408655
2326,6600,9,697800,0.0,5258.147967201514,297.9981838922845,277.315,0.0,0.0,23.0,0.9744042365401594
2327,6900,9,698100,0.0,5279.920836630917,298.0306322370609,277.28249999999997,0.0,0.0,23.0,0.9784390366914638
2328,7200,9,698400,0.0,5266.312793237541,298.0604097513458,277.25,0.0,0.0,23.0,0.9759172865968987
2329,7500,9,698700,0.0,5285.3640539882745,298.0800888223605,277.2175,0.0,0.0,23.0,0.9794477367292912
2330,7800,9,699000,0.0,5300.332901720984,298.10117499598914,277.185,0.0,0.0,23.0,0.9822216618333123
2331,8100,9,699300,0.0,5295.570086533309,298.12209934123746,277.1525,0.0,0.0,23.0,0.9813390493002156
2332,8400,9,699600,0.0,5303.054510399664,298.1381944389478,277.12,0.0,0.0,23.0,0.982726011852226
2333,8700,9,699900,0.0,5311.8997386053625,298.15409253471194,277.0875,0.0,0.0,23.0,0.9843651494136941
2334,9000,9,700200,0.0,5326.868586338073,298.1700983883512,277.05499999999995,0.0,0.0,23.0,0.9871390745177153
2335,9300,9,700500,0.0,5254.0655541835,298.1875523811121,277.0225,0.0,0.0,23.0,0.9736477115117897
2336,9600,9,700800,0.0,5271.075608425227,298.1855797835337,276.98999999999995,0.0,0.0,23.0,0.9767998991299974
2337,9900,9,701100,0.0,5269.03440191622,298.1921218553594,276.9575,0.0,0.0,23.0,0.9764216366158125
2338,10200,9,701400,0.0,5277.87963012191,298.19935107615527,276.92499999999995,0.0,0.0,23.0,0.978060774177279
2339,10500,9,701700,0.0,5286.044456157937,298.2091819116041,276.8925,0.0,0.0,23.0,0.9795738242340184
2340,10800,9,702000,0.0,5285.3640539882745,298.22064886134365,276.85999999999996,0.0,0.0,23.0,0.9794477367292912
2341,11100,9,702300,0.0,5288.766064836616,298.2312093653302,276.8273214285714,0.0,0.0,23.0,0.9800781742529321
2342,11400,9,702600,0.0,5307.81732558735,298.241817704504,276.7943253968254,0.0,0.0,23.0,0.9836086243853247
2343,11700,9,702900,0.0,5298.291695211978,298.25620599558727,276.7610714285714,0.0,0.0,23.0,0.9818433993191273
